Flow #1
Flow info:,4820923.0,2904.0,0.0,734.4285714285714,1081.4630302115213,344352.0,1230388.0788939723,4618520.0,0.0,4820923.0,688703.2985687256,1733039.6074448978,4618520.0,1216.0,137854.0,22975.683212280273,24061.637186365762,45534.0,0.0,0.0,1.6594332352295207,2904.0,561.5333333333333,921.1887402905527,848588.6952380952,1.0,1.0,1.0,1.0,0.0,583.1333333333333,734.4285714285714,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #2
Flow info:,4821386.0,5808.0,0.0,582.0,1654.264736425769,219154.0,1003496.5693873762,4711863.0,0.0,4821386.0,482138.60988616943,1491052.2507975257,4725645.0,625.0,95834.0,8712.183345447887,16128.534708887935,47398.0,0.0,0.0,2.2815015795140416,5808.0,487.5652173913044,1268.0600009494444,1607976.1660079053,1.0,1.0,1.0,1.0,0.0,508.60869565217394,582.0,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #3
Flow info:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,16383.0,-1.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #4
Flow info:,655257.0,1412.0,0.0,639.5555555555555,640.3224014336666,46804.0,112093.83243145615,387168.0,0.0,252871.0,50574.2073059082,88241.00213605692,207064.0,308.0,624578.0,78072.24988937378,145305.35832938706,387168.0,0.0,0.0,9.15671274406034,1412.0,433.53333333333336,563.0469235287927,317021.83809523814,1.0,1.0,1.0,1.0,0.0,455.93333333333334,639.5555555555555,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #5
Flow info:,2086.0,0.0,0.0,0.0,0.0,1043.0,1339.089670888125,1990.0,96.0,0.0,0.0,0.0,0.0,0.0,1990.0,1989.8414611816406,0.0,1990.0,1990.0,0.0,479.4038175791519,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,1052.0,250.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #6
Flow info:,348993.0,1412.0,0.0,655.7142857142857,660.2710842993995,29083.0,78014.28901005295,274711.0,0.0,53274.0,10654.783248901367,12884.018237724722,29639.0,267.0,330687.0,55114.5076751709,108477.90092189919,274711.0,0.0,0.0,17.192330551953773,1412.0,410.7692307692308,557.4545054450863,310755.5256410257,1.0,1.0,1.0,1.0,0.0,432.61538461538464,655.7142857142857,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #7
